team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BOS,0.901,0.09,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIN,0.706,0.196,0.065,0.025,0.005,0.002,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
DEN,0.164,0.378,0.25,0.114,0.047,0.029,0.011,0.005,0.002,0.0,0.0,0.0,0.0,0.0,0.0
OKC,0.097,0.276,0.315,0.149,0.09,0.037,0.019,0.009,0.006,0.002,0.0,0.0,0.0,0.0,0.0
PHI,0.071,0.552,0.252,0.072,0.031,0.014,0.006,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIL,0.026,0.285,0.426,0.148,0.063,0.033,0.01,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAC,0.021,0.089,0.134,0.209,0.157,0.13,0.1,0.061,0.045,0.033,0.015,0.006,0.0,0.0,0.0
SAC,0.004,0.017,0.046,0.097,0.128,0.132,0.097,0.143,0.112,0.116,0.083,0.023,0.002,0.0,0.0
DAL,0.002,0.012,0.06,0.106,0.135,0.13,0.146,0.115,0.102,0.082,0.09,0.019,0.001,0.0,0.0
PHO,0.002,0.012,0.031,0.077,0.088,0.097,0.128,0.132,0.139,0.138,0.108,0.042,0.005,0.001,0.0
LAL,0.002,0.003,0.043,0.076,0.103,0.138,0.118,0.111,0.138,0.122,0.107,0.037,0.002,0.0,0.0
ORL,0.001,0.023,0.104,0.247,0.21,0.144,0.125,0.079,0.046,0.016,0.004,0.001,0.0,0.0,0.0
HOU,0.001,0.01,0.026,0.062,0.104,0.129,0.139,0.141,0.137,0.106,0.095,0.047,0.003,0.0,0.0
NOP,0.001,0.005,0.024,0.053,0.09,0.098,0.138,0.13,0.162,0.137,0.101,0.054,0.007,0.0,0.0
IND,0.001,0.004,0.014,0.074,0.112,0.161,0.222,0.191,0.119,0.062,0.029,0.011,0.0,0.0,0.0
CLE,0.0,0.025,0.078,0.195,0.199,0.179,0.146,0.095,0.046,0.026,0.008,0.003,0.0,0.0,0.0
NYK,0.0,0.014,0.061,0.124,0.182,0.201,0.174,0.143,0.058,0.025,0.015,0.003,0.0,0.0,0.0
MIA,0.0,0.007,0.052,0.126,0.179,0.182,0.172,0.148,0.088,0.035,0.009,0.002,0.0,0.0,0.0
GSW,0.0,0.002,0.006,0.031,0.049,0.074,0.093,0.135,0.133,0.168,0.204,0.092,0.013,0.0,0.0
CHI,0.0,0.0,0.002,0.0,0.007,0.013,0.023,0.067,0.136,0.218,0.292,0.236,0.006,0.0,0.0
BRK,0.0,0.0,0.001,0.01,0.005,0.028,0.061,0.111,0.223,0.224,0.183,0.15,0.004,0.0,0.0
ATL,0.0,0.0,0.001,0.004,0.009,0.035,0.051,0.121,0.195,0.23,0.203,0.146,0.005,0.0,0.0
UTA,0.0,0.0,0.0,0.001,0.004,0.004,0.01,0.017,0.023,0.086,0.175,0.499,0.172,0.009,0.0
TOR,0.0,0.0,0.0,0.0,0.003,0.01,0.01,0.034,0.089,0.164,0.251,0.421,0.018,0.0,0.0
MEM,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.009,0.022,0.173,0.68,0.091,0.022
CHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.027,0.708,0.195,0.064
POR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.08,0.61,0.303
SAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.035,0.289,0.675
WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.45,0.396
DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,0.355,0.54
