team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BOS,0.831,0.143,0.021,0.002,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIN,0.636,0.207,0.087,0.03,0.021,0.01,0.007,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0
DEN,0.232,0.366,0.17,0.108,0.051,0.035,0.019,0.01,0.007,0.002,0.0,0.0,0.0,0.0,0.0
PHI,0.142,0.583,0.158,0.06,0.032,0.014,0.007,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0
OKC,0.047,0.137,0.196,0.144,0.119,0.086,0.079,0.072,0.054,0.037,0.025,0.004,0.0,0.0,0.0
LAC,0.03,0.073,0.129,0.126,0.128,0.123,0.106,0.091,0.086,0.061,0.035,0.011,0.001,0.0,0.0
HOU,0.024,0.067,0.096,0.141,0.135,0.111,0.116,0.103,0.089,0.077,0.039,0.002,0.0,0.0,0.0
MIL,0.014,0.117,0.294,0.209,0.141,0.092,0.063,0.041,0.018,0.008,0.002,0.001,0.0,0.0,0.0
DAL,0.009,0.038,0.068,0.09,0.122,0.113,0.12,0.111,0.112,0.109,0.094,0.013,0.001,0.0,0.0
SAC,0.008,0.035,0.066,0.101,0.11,0.116,0.105,0.098,0.135,0.12,0.092,0.014,0.0,0.0,0.0
ORL,0.007,0.074,0.213,0.203,0.154,0.124,0.103,0.061,0.033,0.016,0.011,0.001,0.0,0.0,0.0
LAL,0.006,0.029,0.076,0.091,0.098,0.102,0.137,0.122,0.137,0.095,0.094,0.012,0.001,0.0,0.0
NYK,0.004,0.042,0.113,0.155,0.185,0.143,0.111,0.113,0.062,0.054,0.014,0.004,0.0,0.0,0.0
PHO,0.004,0.023,0.061,0.08,0.076,0.126,0.102,0.134,0.122,0.133,0.117,0.021,0.001,0.0,0.0
NOP,0.003,0.02,0.03,0.063,0.089,0.101,0.112,0.136,0.128,0.143,0.151,0.023,0.001,0.0,0.0
CLE,0.001,0.024,0.082,0.142,0.15,0.182,0.151,0.107,0.08,0.049,0.026,0.006,0.0,0.0,0.0
IND,0.001,0.011,0.043,0.084,0.125,0.134,0.146,0.151,0.137,0.096,0.047,0.025,0.0,0.0,0.0
GSW,0.001,0.005,0.02,0.026,0.048,0.073,0.096,0.115,0.114,0.181,0.241,0.07,0.008,0.002,0.0
MIA,0.0,0.004,0.044,0.075,0.104,0.137,0.154,0.16,0.14,0.106,0.058,0.017,0.001,0.0,0.0
BRK,0.0,0.002,0.022,0.046,0.065,0.09,0.121,0.156,0.221,0.144,0.095,0.038,0.0,0.0,0.0
ATL,0.0,0.0,0.01,0.019,0.03,0.058,0.096,0.125,0.178,0.219,0.168,0.091,0.005,0.001,0.0
UTA,0.0,0.0,0.001,0.0,0.003,0.003,0.001,0.007,0.014,0.04,0.103,0.635,0.161,0.026,0.006
TOR,0.0,0.0,0.0,0.003,0.01,0.021,0.034,0.056,0.092,0.19,0.311,0.248,0.033,0.002,0.0
CHI,0.0,0.0,0.0,0.002,0.002,0.005,0.013,0.027,0.037,0.115,0.252,0.477,0.069,0.001,0.0
MEM,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.002,0.008,0.154,0.496,0.243,0.095
CHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.016,0.086,0.71,0.142,0.042
POR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.02,0.191,0.375,0.413
SAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.139,0.354,0.486
DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.11,0.428,0.457
WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.072,0.426,0.501
