team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BOS,0.881,0.096,0.02,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIN,0.686,0.198,0.077,0.024,0.009,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEN,0.185,0.417,0.22,0.094,0.045,0.023,0.01,0.004,0.0,0.002,0.0,0.0,0.0,0.0,0.0
OKC,0.1,0.246,0.325,0.151,0.075,0.034,0.038,0.014,0.009,0.006,0.001,0.001,0.0,0.0,0.0
PHI,0.088,0.571,0.252,0.056,0.021,0.007,0.004,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0
MIL,0.026,0.254,0.411,0.174,0.081,0.032,0.016,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAC,0.018,0.062,0.148,0.233,0.173,0.113,0.069,0.083,0.054,0.033,0.012,0.002,0.0,0.0,0.0
DAL,0.005,0.021,0.046,0.113,0.126,0.111,0.145,0.12,0.114,0.104,0.071,0.021,0.003,0.0,0.0
CLE,0.003,0.016,0.089,0.206,0.202,0.166,0.144,0.092,0.046,0.024,0.01,0.002,0.0,0.0,0.0
LAL,0.002,0.012,0.03,0.069,0.108,0.117,0.126,0.13,0.144,0.113,0.105,0.042,0.002,0.0,0.0
PHO,0.002,0.007,0.038,0.065,0.098,0.12,0.107,0.133,0.128,0.147,0.111,0.041,0.002,0.001,0.0
ORL,0.001,0.032,0.117,0.218,0.199,0.166,0.139,0.073,0.034,0.017,0.004,0.0,0.0,0.0,0.0
SAC,0.001,0.02,0.061,0.093,0.12,0.145,0.133,0.114,0.132,0.085,0.067,0.025,0.004,0.0,0.0
NYK,0.001,0.015,0.04,0.121,0.193,0.21,0.173,0.131,0.062,0.032,0.021,0.001,0.0,0.0,0.0
NOP,0.001,0.005,0.023,0.064,0.094,0.11,0.117,0.142,0.136,0.135,0.127,0.041,0.005,0.0,0.0
MIA,0.0,0.013,0.048,0.14,0.142,0.197,0.177,0.147,0.071,0.051,0.012,0.002,0.0,0.0,0.0
HOU,0.0,0.006,0.03,0.071,0.098,0.13,0.141,0.133,0.12,0.139,0.1,0.025,0.007,0.0,0.0
GSW,0.0,0.006,0.002,0.021,0.053,0.081,0.102,0.115,0.129,0.152,0.235,0.092,0.012,0.0,0.0
IND,0.0,0.003,0.022,0.074,0.117,0.16,0.189,0.194,0.122,0.076,0.031,0.012,0.0,0.0,0.0
CHI,0.0,0.0,0.001,0.003,0.007,0.015,0.035,0.073,0.146,0.195,0.272,0.246,0.007,0.0,0.0
BRK,0.0,0.0,0.0,0.003,0.018,0.026,0.054,0.12,0.247,0.221,0.185,0.124,0.002,0.0,0.0
ATL,0.0,0.0,0.0,0.003,0.014,0.019,0.051,0.122,0.178,0.224,0.219,0.165,0.005,0.0,0.0
UTA,0.0,0.0,0.0,0.002,0.001,0.01,0.01,0.012,0.032,0.078,0.146,0.543,0.158,0.007,0.001
TOR,0.0,0.0,0.0,0.0,0.005,0.002,0.018,0.042,0.094,0.16,0.243,0.419,0.016,0.001,0.0
MEM,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.002,0.006,0.025,0.158,0.667,0.123,0.017
CHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.024,0.692,0.218,0.064
POR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.102,0.57,0.321
WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.17,0.428,0.398
SAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.038,0.299,0.661
DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.108,0.353,0.538
