team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
MIN,0.381,0.278,0.226,0.089,0.019,0.006,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEN,0.33,0.307,0.212,0.118,0.024,0.008,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OKC,0.226,0.294,0.284,0.133,0.04,0.011,0.01,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAC,0.059,0.097,0.202,0.34,0.172,0.075,0.031,0.021,0.002,0.001,0.0,0.0,0.0,0.0,0.0
PHO,0.002,0.013,0.028,0.09,0.181,0.191,0.167,0.158,0.112,0.058,0.0,0.0,0.0,0.0,0.0
NOP,0.002,0.007,0.028,0.098,0.196,0.213,0.206,0.119,0.092,0.038,0.001,0.0,0.0,0.0,0.0
SAC,0.0,0.003,0.016,0.076,0.179,0.176,0.175,0.171,0.122,0.082,0.0,0.0,0.0,0.0,0.0
DAL,0.0,0.001,0.002,0.024,0.098,0.151,0.161,0.198,0.195,0.152,0.017,0.001,0.0,0.0,0.0
GSW,0.0,0.0,0.002,0.027,0.071,0.117,0.168,0.169,0.221,0.209,0.015,0.001,0.0,0.0,0.0
LAL,0.0,0.0,0.0,0.005,0.02,0.052,0.081,0.16,0.248,0.389,0.045,0.0,0.0,0.0,0.0
HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.032,0.457,0.461,0.045,0.0,0.0
UTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.039,0.46,0.455,0.042,0.0,0.0
MEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.081,0.859,0.052,0.003
POR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.053,0.858,0.088
SAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.09,0.909
