team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BOS,0.794,0.16,0.035,0.009,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIN,0.566,0.246,0.093,0.054,0.024,0.007,0.007,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0
DEN,0.276,0.306,0.168,0.112,0.064,0.034,0.018,0.014,0.005,0.001,0.001,0.0,0.001,0.0,0.0
PHI,0.144,0.438,0.209,0.1,0.052,0.033,0.012,0.007,0.003,0.002,0.0,0.0,0.0,0.0,0.0
OKC,0.082,0.167,0.209,0.145,0.114,0.09,0.062,0.056,0.04,0.018,0.012,0.005,0.0,0.0,0.0
MIL,0.03,0.172,0.239,0.182,0.148,0.08,0.068,0.04,0.025,0.011,0.005,0.0,0.0,0.0,0.0
PHO,0.029,0.082,0.126,0.151,0.154,0.106,0.091,0.084,0.061,0.064,0.038,0.01,0.004,0.0,0.0
LAL,0.016,0.072,0.12,0.131,0.126,0.114,0.124,0.101,0.081,0.059,0.037,0.015,0.004,0.0,0.0
ORL,0.015,0.099,0.163,0.204,0.161,0.11,0.101,0.079,0.037,0.027,0.003,0.001,0.0,0.0,0.0
DAL,0.01,0.027,0.05,0.057,0.09,0.132,0.106,0.108,0.132,0.113,0.113,0.05,0.011,0.001,0.0
LAC,0.009,0.032,0.062,0.078,0.103,0.114,0.14,0.105,0.127,0.106,0.088,0.031,0.005,0.0,0.0
NYK,0.007,0.054,0.126,0.141,0.14,0.146,0.124,0.113,0.076,0.041,0.024,0.007,0.001,0.0,0.0
SAC,0.006,0.023,0.06,0.081,0.088,0.113,0.112,0.13,0.113,0.128,0.098,0.037,0.011,0.0,0.0
MIA,0.006,0.012,0.047,0.079,0.107,0.122,0.139,0.157,0.134,0.124,0.059,0.012,0.002,0.0,0.0
HOU,0.003,0.018,0.045,0.069,0.082,0.105,0.113,0.118,0.132,0.13,0.124,0.049,0.012,0.0,0.0
IND,0.003,0.016,0.061,0.09,0.12,0.151,0.13,0.13,0.111,0.104,0.063,0.021,0.0,0.0,0.0
GSW,0.003,0.012,0.028,0.058,0.084,0.087,0.1,0.144,0.138,0.136,0.112,0.073,0.023,0.002,0.0
ATL,0.001,0.004,0.013,0.036,0.059,0.09,0.12,0.135,0.169,0.171,0.14,0.054,0.008,0.0,0.0
CLE,0.0,0.043,0.082,0.114,0.14,0.155,0.133,0.123,0.103,0.06,0.036,0.009,0.002,0.0,0.0
NOP,0.0,0.015,0.039,0.064,0.065,0.09,0.111,0.12,0.121,0.162,0.142,0.059,0.01,0.002,0.0
BRK,0.0,0.002,0.018,0.034,0.047,0.08,0.106,0.125,0.167,0.195,0.154,0.063,0.008,0.001,0.0
TOR,0.0,0.0,0.007,0.011,0.023,0.031,0.058,0.072,0.146,0.198,0.278,0.141,0.033,0.002,0.0
UTA,0.0,0.0,0.0,0.0,0.006,0.006,0.01,0.012,0.04,0.056,0.15,0.393,0.247,0.064,0.016
CHI,0.0,0.0,0.0,0.0,0.002,0.001,0.009,0.018,0.026,0.061,0.212,0.488,0.159,0.019,0.005
MEM,0.0,0.0,0.0,0.0,0.0,0.002,0.006,0.006,0.01,0.023,0.078,0.23,0.456,0.147,0.042
CHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.006,0.022,0.18,0.582,0.162,0.044
POR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.006,0.026,0.123,0.453,0.39
SAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.022,0.093,0.331,0.552
DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.019,0.132,0.462,0.384
WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.005,0.073,0.354,0.567
