team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BOS,0.655,0.165,0.088,0.037,0.023,0.015,0.011,0.003,0.0,0.001,0.002,0.0,0.0,0.0,0.0
OKC,0.502,0.186,0.095,0.072,0.044,0.033,0.023,0.018,0.006,0.012,0.002,0.004,0.002,0.001,0.0
DAL,0.115,0.145,0.126,0.118,0.111,0.083,0.07,0.062,0.041,0.044,0.042,0.021,0.016,0.005,0.001
MIN,0.077,0.109,0.107,0.114,0.086,0.104,0.093,0.071,0.058,0.064,0.04,0.04,0.025,0.009,0.003
MIL,0.076,0.142,0.14,0.125,0.127,0.112,0.092,0.066,0.046,0.033,0.02,0.015,0.004,0.001,0.001
ORL,0.071,0.16,0.144,0.137,0.144,0.105,0.09,0.066,0.031,0.024,0.015,0.009,0.002,0.001,0.001
IND,0.061,0.181,0.163,0.137,0.112,0.112,0.078,0.063,0.04,0.024,0.018,0.007,0.004,0.0,0.0
CLE,0.052,0.128,0.142,0.153,0.117,0.106,0.079,0.086,0.047,0.043,0.026,0.009,0.009,0.003,0.0
SAC,0.052,0.064,0.09,0.096,0.077,0.096,0.087,0.077,0.089,0.08,0.064,0.053,0.042,0.024,0.009
MEM,0.047,0.088,0.096,0.088,0.097,0.086,0.092,0.084,0.084,0.077,0.061,0.056,0.024,0.015,0.005
PHO,0.044,0.085,0.091,0.097,0.097,0.09,0.095,0.09,0.086,0.083,0.052,0.051,0.021,0.016,0.002
NYK,0.043,0.112,0.134,0.143,0.12,0.123,0.103,0.084,0.05,0.031,0.03,0.016,0.006,0.004,0.001
GSW,0.039,0.095,0.087,0.092,0.096,0.101,0.095,0.087,0.081,0.061,0.072,0.049,0.024,0.014,0.007
DEN,0.038,0.086,0.102,0.087,0.093,0.093,0.091,0.082,0.087,0.064,0.072,0.05,0.032,0.015,0.008
LAL,0.033,0.063,0.079,0.101,0.097,0.074,0.09,0.084,0.087,0.07,0.074,0.064,0.051,0.026,0.007
NOP,0.028,0.035,0.053,0.059,0.07,0.082,0.078,0.112,0.11,0.092,0.08,0.089,0.064,0.035,0.013
PHI,0.024,0.064,0.08,0.114,0.132,0.12,0.125,0.105,0.077,0.074,0.039,0.025,0.014,0.006,0.001
HOU,0.018,0.027,0.031,0.032,0.059,0.074,0.075,0.094,0.085,0.109,0.121,0.098,0.092,0.057,0.028
MIA,0.011,0.015,0.053,0.051,0.089,0.101,0.094,0.119,0.145,0.104,0.08,0.063,0.048,0.018,0.009
SAS,0.005,0.011,0.022,0.023,0.031,0.034,0.043,0.068,0.068,0.093,0.101,0.12,0.163,0.135,0.083
ATL,0.004,0.014,0.023,0.039,0.049,0.067,0.107,0.106,0.128,0.124,0.112,0.101,0.05,0.052,0.024
TOR,0.002,0.001,0.001,0.004,0.005,0.012,0.019,0.036,0.05,0.083,0.107,0.125,0.182,0.176,0.197
CHI,0.001,0.01,0.012,0.026,0.032,0.052,0.065,0.09,0.112,0.127,0.139,0.12,0.096,0.077,0.041
LAC,0.001,0.005,0.016,0.017,0.029,0.032,0.043,0.04,0.066,0.071,0.106,0.128,0.155,0.184,0.107
UTA,0.001,0.001,0.004,0.003,0.01,0.013,0.02,0.016,0.037,0.054,0.078,0.119,0.177,0.216,0.251
CHO,0.0,0.005,0.015,0.013,0.023,0.023,0.054,0.07,0.106,0.105,0.121,0.136,0.133,0.119,0.077
WAS,0.0,0.002,0.001,0.007,0.009,0.015,0.022,0.037,0.048,0.066,0.082,0.126,0.153,0.195,0.237
DET,0.0,0.001,0.001,0.011,0.012,0.025,0.039,0.045,0.073,0.097,0.11,0.139,0.159,0.139,0.149
BRK,0.0,0.0,0.003,0.003,0.006,0.012,0.022,0.024,0.047,0.064,0.099,0.109,0.14,0.209,0.262
POR,0.0,0.0,0.001,0.001,0.003,0.005,0.005,0.015,0.015,0.026,0.035,0.058,0.112,0.248,0.476
