team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BOS,0.8,0.149,0.033,0.012,0.003,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIN,0.6,0.228,0.088,0.036,0.023,0.013,0.006,0.003,0.002,0.001,0.0,0.0,0.0,0.0,0.0
DEN,0.246,0.345,0.173,0.093,0.061,0.033,0.024,0.015,0.006,0.002,0.002,0.0,0.0,0.0,0.0
PHI,0.133,0.444,0.192,0.103,0.061,0.037,0.013,0.011,0.005,0.001,0.0,0.0,0.0,0.0,0.0
OKC,0.06,0.179,0.196,0.163,0.119,0.093,0.066,0.055,0.029,0.021,0.018,0.001,0.0,0.0,0.0
PHO,0.032,0.076,0.127,0.153,0.142,0.116,0.111,0.095,0.066,0.042,0.03,0.009,0.001,0.0,0.0
MIL,0.031,0.157,0.228,0.211,0.144,0.087,0.056,0.048,0.019,0.014,0.005,0.0,0.0,0.0,0.0
LAL,0.02,0.044,0.113,0.12,0.124,0.124,0.103,0.094,0.103,0.085,0.048,0.02,0.002,0.0,0.0
ORL,0.018,0.104,0.19,0.168,0.158,0.117,0.099,0.06,0.045,0.029,0.011,0.001,0.0,0.0,0.0
LAC,0.013,0.03,0.075,0.097,0.102,0.109,0.091,0.129,0.126,0.1,0.086,0.036,0.006,0.0,0.0
SAC,0.008,0.029,0.057,0.081,0.079,0.112,0.129,0.137,0.117,0.121,0.087,0.032,0.01,0.001,0.0
DAL,0.008,0.02,0.051,0.073,0.098,0.089,0.116,0.12,0.132,0.114,0.112,0.046,0.017,0.004,0.0
NYK,0.006,0.048,0.129,0.146,0.153,0.149,0.131,0.095,0.065,0.049,0.023,0.005,0.001,0.0,0.0
CLE,0.006,0.04,0.078,0.116,0.129,0.142,0.138,0.111,0.114,0.071,0.046,0.009,0.0,0.0,0.0
HOU,0.005,0.02,0.055,0.067,0.09,0.101,0.097,0.121,0.116,0.138,0.123,0.051,0.015,0.001,0.0
GSW,0.005,0.014,0.037,0.061,0.067,0.104,0.139,0.104,0.121,0.146,0.114,0.071,0.015,0.001,0.001
IND,0.004,0.021,0.069,0.09,0.117,0.134,0.133,0.138,0.137,0.077,0.058,0.021,0.0,0.001,0.0
NOP,0.003,0.015,0.028,0.054,0.093,0.101,0.108,0.101,0.123,0.153,0.149,0.047,0.024,0.001,0.0
MIA,0.002,0.025,0.045,0.072,0.105,0.135,0.126,0.143,0.14,0.11,0.08,0.016,0.001,0.0,0.0
BRK,0.0,0.007,0.02,0.035,0.055,0.077,0.117,0.133,0.139,0.186,0.16,0.067,0.003,0.001,0.0
ATL,0.0,0.005,0.013,0.029,0.058,0.075,0.116,0.154,0.173,0.173,0.132,0.065,0.007,0.0,0.0
TOR,0.0,0.0,0.003,0.018,0.017,0.038,0.062,0.082,0.14,0.199,0.282,0.136,0.022,0.001,0.0
UTA,0.0,0.0,0.0,0.002,0.002,0.003,0.005,0.018,0.038,0.055,0.152,0.401,0.246,0.067,0.011
CHI,0.0,0.0,0.0,0.0,0.0,0.007,0.009,0.024,0.023,0.083,0.168,0.506,0.155,0.024,0.001
MEM,0.0,0.0,0.0,0.0,0.0,0.002,0.005,0.008,0.021,0.02,0.069,0.234,0.455,0.135,0.051
CHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.035,0.161,0.633,0.132,0.031
SAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.007,0.018,0.085,0.311,0.578
POR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.034,0.124,0.479,0.359
DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.108,0.482,0.401
WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.07,0.359,0.567
