Rank,Team,Record,EM Rating,Predictive Rating,Projected Record,AdjO,AdjD,Pace,RSOS,Playoffs,Conference Semis,Conference Finals,Finals,Champion
1,Boston Celtics,66-19,7.96,5.5,66.0-19.0,7.99,3.2,96.13,1.36,1.0,0.851,0.605,0.444,0.294
2,Oklahoma City Thunder,60-25,5.99,5.08,63.0-25.0,4.47,3.42,98.88,1.65,1.0,0.939,0.549,0.256,0.12
3,Denver Nuggets,60-26,4.69,4.81,63.0-27.0,2.71,2.61,96.03,1.62,1.0,0.917,0.486,0.299,0.151
4,Minnesota Timberwolves,60-26,5.76,3.88,64.0-26.0,1.02,6.06,96.19,0.0,1.0,1.0,0.476,0.263,0.119
5,Phoenix Suns,49-37,2.43,2.96,49.0-41.0,2.61,-0.04,97.28,0.0,1.0,0.0,0.0,0.0,0.0
6,Golden State Warriors,46-37,2.62,2.91,46.0-37.0,2.67,-0.14,98.49,0.0,0.0,0.0,0.0,0.0,0.0
7,Cleveland Cavaliers,50-36,1.37,2.71,52.0-38.0,-0.8,2.34,96.21,1.07,1.0,0.576,0.208,0.12,0.056
8,Philadelphia 76ers,49-38,1.6,2.62,50.0-41.0,1.38,1.15,96.41,2.6,1.0,0.103,0.052,0.019,0.009
9,New York Knicks,53-33,3.18,2.6,56.0-34.0,2.48,2.16,94.3,2.62,1.0,0.897,0.499,0.179,0.073
10,Milwaukee Bucks,50-36,1.85,2.59,51.0-39.0,2.92,-0.59,99.01,2.16,1.0,0.162,0.101,0.046,0.025
11,Indiana Pacers,50-36,2.58,2.16,53.0-37.0,5.19,-2.3,100.68,2.59,1.0,0.838,0.348,0.114,0.045
12,Los Angeles Clippers,53-33,2.95,1.69,55.0-35.0,3.02,0.29,96.14,0.93,1.0,0.536,0.235,0.086,0.038
13,New Orleans Pelicans,50-37,2.98,1.65,50.0-40.0,0.91,3.11,96.98,5.08,1.0,0.061,0.025,0.011,0.002
14,Los Angeles Lakers,49-38,0.78,1.62,50.0-41.0,1.08,0.07,99.96,4.81,1.0,0.083,0.038,0.019,0.008
15,Miami Heat,48-39,0.5,1.36,48.0-39.0,-1.93,3.03,95.14,5.5,1.0,0.149,0.064,0.027,0.005
16,Sacramento Kings,47-37,2.02,1.32,47.0-37.0,2.19,0.27,98.05,0.0,0.0,0.0,0.0,0.0,0.0
17,Orlando Magic,49-37,1.39,1.07,51.0-39.0,-2.41,4.43,96.0,2.71,1.0,0.424,0.123,0.051,0.027
18,Dallas Mavericks,52-34,1.91,0.93,54.0-36.0,1.7,0.53,98.99,1.69,1.0,0.464,0.191,0.066,0.028
19,Houston Rockets,41-41,0.85,0.04,41.0-41.0,-0.24,1.44,98.29,0.0,0.0,0.0,0.0,0.0,0.0
20,Chicago Bulls,40-44,-1.86,-0.85,40.0-44.0,0.63,-2.59,95.58,0.0,0.0,0.0,0.0,0.0,0.0
21,Brooklyn Nets,32-50,-2.68,-2.07,32.0-50.0,-1.96,-1.16,96.09,0.0,0.0,0.0,0.0,0.0,0.0
22,Atlanta Hawks,36-47,-2.04,-2.48,36.0-47.0,2.4,-4.91,99.3,0.0,0.0,0.0,0.0,0.0,0.0
23,Utah Jazz,31-51,-3.49,-3.19,31.0-51.0,0.9,-5.24,98.77,0.0,0.0,0.0,0.0,0.0,0.0
24,Memphis Grizzlies,27-55,-5.26,-3.67,27.0-55.0,-7.93,1.18,97.41,0.0,0.0,0.0,0.0,0.0,0.0
25,San Antonio Spurs,22-60,-4.74,-4.11,22.0-60.0,-4.68,-0.94,100.52,0.0,0.0,0.0,0.0,0.0,0.0
26,Charlotte Hornets,21-61,-8.16,-5.14,21.0-61.0,-6.24,-4.24,96.48,0.0,0.0,0.0,0.0,0.0,0.0
27,Toronto Raptors,25-57,-5.18,-5.37,25.0-57.0,-2.98,-3.56,98.73,0.0,0.0,0.0,0.0,0.0,0.0
28,Detroit Pistons,14-68,-8.0,-6.61,14.0-68.0,-5.89,-3.24,99.17,0.0,0.0,0.0,0.0,0.0,0.0
29,Washington Wizards,15-67,-7.93,-6.69,15.0-67.0,-5.34,-3.74,102.08,0.0,0.0,0.0,0.0,0.0,0.0
30,Portland Trail Blazers,21-61,-6.32,-7.33,21.0-61.0,-5.87,-2.6,96.36,0.0,0.0,0.0,0.0,0.0,0.0
