team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
OKC,0.46,0.2,0.15,0.05,0.06,0.01,0.01,0.04,0.0,0.0,0.01,0.01,0.0,0.0,0.0
DAL,0.1,0.19,0.09,0.16,0.03,0.12,0.05,0.07,0.07,0.05,0.03,0.02,0.02,0.0,0.0
DEN,0.1,0.11,0.09,0.09,0.08,0.08,0.07,0.07,0.08,0.08,0.07,0.04,0.03,0.01,0.0
MIN,0.08,0.07,0.11,0.13,0.12,0.08,0.12,0.11,0.03,0.02,0.07,0.02,0.02,0.02,0.0
LAL,0.06,0.06,0.08,0.08,0.09,0.11,0.07,0.08,0.07,0.09,0.07,0.05,0.03,0.04,0.02
GSW,0.06,0.06,0.06,0.05,0.13,0.09,0.08,0.07,0.07,0.05,0.09,0.06,0.06,0.06,0.01
SAC,0.03,0.1,0.09,0.1,0.1,0.05,0.08,0.08,0.09,0.09,0.04,0.09,0.03,0.03,0.0
HOU,0.03,0.06,0.05,0.03,0.08,0.12,0.1,0.04,0.13,0.08,0.09,0.08,0.11,0.0,0.0
PHO,0.03,0.05,0.08,0.15,0.06,0.08,0.13,0.11,0.09,0.1,0.0,0.06,0.02,0.04,0.0
MEM,0.03,0.05,0.08,0.1,0.13,0.11,0.05,0.06,0.1,0.1,0.05,0.05,0.06,0.03,0.0
NOP,0.02,0.05,0.07,0.04,0.04,0.06,0.11,0.07,0.13,0.08,0.11,0.12,0.06,0.03,0.01
LAC,0.0,0.0,0.03,0.01,0.03,0.02,0.02,0.08,0.07,0.08,0.09,0.08,0.24,0.16,0.09
SAS,0.0,0.0,0.02,0.01,0.04,0.02,0.06,0.1,0.03,0.1,0.18,0.14,0.08,0.11,0.11
UTA,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.02,0.02,0.06,0.04,0.11,0.14,0.16,0.36
POR,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.02,0.06,0.07,0.1,0.31,0.4
