team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,68.0,19.0,0.325,0.527,0.725,1.0,1.0
DEN,64.996,26.999,0.169,0.357,0.577,1.0,1.0
MIN,63.996,26.0,0.116,0.226,0.423,1.0,1.0
OKC,64.996,25.0,0.114,0.253,0.545,1.0,1.0
NYK,57.996,35.998,0.104,0.208,0.641,1.0,1.0
CLE,53.997,37.998,0.067,0.133,0.211,0.745,1.0
DAL,55.997,35.998,0.052,0.128,0.364,0.777,1.0
IND,54.996,38.998,0.035,0.099,0.359,1.0,1.0
ORL,50.998,40.997,0.01,0.033,0.064,0.255,1.0
LAC,54.998,36.997,0.008,0.036,0.091,0.223,1.0
MIL,52.998,40.996,0.0,0.0,0.0,0.0,1.0
PHI,51.998,42.996,0.0,0.0,0.0,0.0,1.0
NOP,50.0,41.996,0.0,0.0,0.0,0.0,1.0
LAL,49.999,42.996,0.0,0.0,0.0,0.0,1.0
PHO,49.0,40.996,0.0,0.0,0.0,0.0,1.0
MIA,48.0,41.0,0.0,0.0,0.0,0.0,1.0
SAC,47.0,37.0,0.0,0.0,0.0,0.0,0.0
GSW,46.0,37.0,0.0,0.0,0.0,0.0,0.0
HOU,41.0,41.0,0.0,0.0,0.0,0.0,0.0
CHI,40.0,44.0,0.0,0.0,0.0,0.0,0.0
ATL,36.0,47.0,0.0,0.0,0.0,0.0,0.0
BRK,32.0,50.0,0.0,0.0,0.0,0.0,0.0
UTA,31.0,51.0,0.0,0.0,0.0,0.0,0.0
MEM,27.0,55.0,0.0,0.0,0.0,0.0,0.0
TOR,25.0,57.0,0.0,0.0,0.0,0.0,0.0
SAS,22.0,60.0,0.0,0.0,0.0,0.0,0.0
POR,21.0,61.0,0.0,0.0,0.0,0.0,0.0
CHO,21.0,61.0,0.0,0.0,0.0,0.0,0.0
WAS,15.0,67.0,0.0,0.0,0.0,0.0,0.0
DET,14.0,68.0,0.0,0.0,0.0,0.0,0.0
