team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,68.0,19.0,0.345,0.532,0.741,1.0,1.0
DEN,64.996,26.999,0.176,0.336,0.587,1.0,1.0
OKC,64.996,25.0,0.128,0.264,0.538,1.0,1.0
NYK,57.996,35.998,0.09,0.197,0.629,1.0,1.0
MIN,63.996,26.0,0.086,0.203,0.413,1.0,1.0
CLE,53.997,37.998,0.061,0.131,0.193,0.737,1.0
DAL,55.997,35.998,0.056,0.16,0.372,0.791,1.0
IND,54.996,38.998,0.038,0.108,0.371,1.0,1.0
LAC,54.998,36.997,0.012,0.037,0.09,0.209,1.0
ORL,50.998,40.997,0.008,0.032,0.066,0.263,1.0
MIL,52.998,40.996,0.0,0.0,0.0,0.0,1.0
PHI,51.998,42.996,0.0,0.0,0.0,0.0,1.0
NOP,50.0,41.996,0.0,0.0,0.0,0.0,1.0
LAL,49.999,42.996,0.0,0.0,0.0,0.0,1.0
PHO,49.0,40.996,0.0,0.0,0.0,0.0,1.0
MIA,48.0,41.0,0.0,0.0,0.0,0.0,1.0
SAC,47.0,37.0,0.0,0.0,0.0,0.0,0.0
GSW,46.0,37.0,0.0,0.0,0.0,0.0,0.0
HOU,41.0,41.0,0.0,0.0,0.0,0.0,0.0
CHI,40.0,44.0,0.0,0.0,0.0,0.0,0.0
ATL,36.0,47.0,0.0,0.0,0.0,0.0,0.0
BRK,32.0,50.0,0.0,0.0,0.0,0.0,0.0
UTA,31.0,51.0,0.0,0.0,0.0,0.0,0.0
MEM,27.0,55.0,0.0,0.0,0.0,0.0,0.0
TOR,25.0,57.0,0.0,0.0,0.0,0.0,0.0
SAS,22.0,60.0,0.0,0.0,0.0,0.0,0.0
POR,21.0,61.0,0.0,0.0,0.0,0.0,0.0
CHO,21.0,61.0,0.0,0.0,0.0,0.0,0.0
WAS,15.0,67.0,0.0,0.0,0.0,0.0,0.0
DET,14.0,68.0,0.0,0.0,0.0,0.0,0.0
